msa_name,nee_downscale_mean,nee_original_mean
"College Station-Bryan, TX",0.3537769,0.3537769
"Grand Forks, ND-MN",0.12070669,0.12070669
"Sebring, FL",-0.24189125,-0.24189125
"Toledo, OH",0.2825794,0.2825794
"Eagle Pass, TX",0.22447276,0.22447276
"Clarksville, TN-KY",0.5257706,0.5257706
"Owensboro, KY",0.6044028,0.6044028
"Fayetteville-Springdale-Rogers, AR",0.57840085,0.57840085
"Panama City-Panama City Beach, FL",-0.45988873,-0.45988873
"Bellingham, WA",0.4741497,0.4741497
"Lake Havasu City-Kingman, AZ",-0.14217336,-0.14217336
"Chico, CA",0.00555748,0.00555748
"Houma-Bayou Cane-Thibodaux, LA",0.20597076,0.20597076
"Pocatello, ID",0.08489558,0.08489558
"Grand Junction, CO",-0.0033836362,-0.0033836362
"Gadsden, AL",0.37844154,0.37844154
"San Luis Obispo-Paso Robles, CA",-0.08034323,-0.08034323
"Scranton--Wilkes-Barre, PA",0.7940555,0.7940555
"Beckley, WV",1.1854519,1.1854519
"Flagstaff, AZ",-0.17583615,-0.17583615
"Pensacola-Ferry Pass-Brent, FL",-0.0603634,-0.0603634
"Wenatchee-East Wenatchee, WA",0.16805449,0.16805449
"Binghamton, NY",0.76024365,0.76024365
"Jacksonville, NC",-0.07422614,-0.07422614
"Visalia, CA",-0.17101401,-0.17101401
"Ocala, FL",-0.40184295,-0.40184295
"El Centro, CA",-0.2799754,-0.2799754
"Beaumont-Port Arthur, TX",-0.020171389,-0.020171389
"Tampa-St. Petersburg-Clearwater, FL",-0.28941405,-0.28941405
"Crestview-Fort Walton Beach-Destin, FL",-0.2296139,-0.2296139
"Bend, OR",0.036645044,0.036645044
"Traverse City, MI",0.43034324,0.43034324
"Logan, UT-ID",0.16466948,0.16466948
"Manhattan, KS",0.2947015,0.2947015
"Charlottesville, VA",0.6818133,0.6818133
"Waco, TX",0.37108764,0.37108764
"Morgantown, WV",1.0119213,1.0119213
"Terre Haute, IN",0.57923704,0.57923704
"Utica-Rome, NY",0.72980183,0.72980183
"Salinas, CA",-0.1823124,-0.1823124
"Jackson, TN",0.4735657,0.4735657
"Watertown-Fort Drum, NY",0.52263355,0.52263355
"Gulfport-Biloxi, MS",-0.040150024,-0.040150024
"Hilton Head Island-Bluffton-Port Royal, SC",-0.20041148,-0.20041148
"Farmington, NM",-0.121134445,-0.121134445
"Wilmington, NC",-0.19846833,-0.19846833
"Prescott Valley-Prescott, AZ",-0.18898414,-0.18898414
"Palm Bay-Melbourne-Titusville, FL",-0.41830397,-0.41830397
"Laredo, TX",0.22888675,0.22888675
"Augusta-Richmond County, GA-SC",0.11790009,0.11790009
"Blacksburg-Christiansburg-Radford, VA",0.8002132,0.8002132
"Santa Rosa-Petaluma, CA",-0.20450403,-0.20450403
"Longview, TX",0.28105405,0.28105405
"Missoula, MT",0.30887002,0.30887002
"Lancaster, PA",0.5749911,0.5749911
"Roanoke, VA",0.6989218,0.6989218
"Fort Smith, AR-OK",0.47644857,0.47644857
"Albany, GA",0.16997153,0.16997153
"Richmond, VA",0.39372948,0.39372948
"Texarkana, TX-AR",0.3107665,0.3107665
"Tuscaloosa, AL",0.329851,0.329851
"Santa Maria-Santa Barbara, CA",-0.4095443,-0.4095443
"Lynchburg, VA",0.5304189,0.5304189
"Homosassa Springs, FL",-0.32234147,-0.32234147
"Alexandria, LA",-0.04093185,-0.04093185
"Charleston-North Charleston, SC",-0.08477487,-0.08477487
"Topeka, KS",0.3663246,0.3663246
"Bozeman, MT",0.19094072,0.19094072
"Yuma, AZ",-0.06276412,-0.06276412
"Florence, SC",0.18969713,0.18969713
"Valdosta, GA",-0.23176195,-0.23176195
"Fort Collins-Loveland, CO",0.05335583,0.05335583
"Austin-Round Rock-San Marcos, TX",0.22268842,0.22268842
"Yakima, WA",0.3236,0.3236
"Lewiston, ID-WA",0.30328318,0.30328318
"Eugene-Springfield, OR",0.24201594,0.24201594
"Twin Falls, ID",0.041126885,0.041126885
"San Diego-Chula Vista-Carlsbad, CA",-0.21133584,-0.21133584
"Jackson, MI",0.36307746,0.36307746
"Decatur, IL",0.5132766,0.5132766
"St. George, UT",-0.1202942,-0.1202942
"Anniston-Oxford, AL",0.41904148,0.41904148
"Enid, OK",-0.16991301,-0.16991301
"Sheboygan, WI",0.35280597,0.35280597
"San Angelo, TX",0.19217727,0.19217727
"Sierra Vista-Douglas, AZ",-0.027753862,-0.027753862
"Bangor, ME",0.6146772,0.6146772
"Goldsboro, NC",0.30382192,0.30382192
"Waterloo-Cedar Falls, IA",0.14279403,0.14279403
"Wheeling, WV-OH",0.75578207,0.75578207
"Grand Island, NE",0.46257827,0.46257827
"Fond du Lac, WI",0.30737448,0.30737448
"Pittsfield, MA",1.002921,1.002921
"Brunswick-St. Simons, GA",-0.48090714,-0.48090714
"Killeen-Temple, TX",0.2588125,0.2588125
"Springfield, MO",0.49215022,0.49215022
"Bakersfield-Delano, CA",-0.20589668,-0.20589668
"Abilene, TX",0.21824677,0.21824677
"Glens Falls, NY",0.7631645,0.7631645
"Albany-Schenectady-Troy, NY",0.79747665,0.79747665
"Albuquerque, NM",-0.08245412,-0.08245412
"Santa Fe, NM",-0.09315666,-0.09315666
"Allentown-Bethlehem-Easton, PA-NJ",0.6767788,0.6767788
"Altoona, PA",0.87059647,0.87059647
"Amarillo, TX",0.16055499,0.16055499
"Appleton, WI",0.35441825,0.35441825
"Oshkosh-Neenah, WI",0.32152605,0.32152605
"Asheville, NC",0.8089278,0.8089278
"Athens-Clarke County, GA",0.24797921,0.24797921
"Gainesville, GA",0.37203503,0.37203503
"Rome, GA",0.3652073,0.3652073
"Atlanta-Sandy Springs-Roswell, GA",0.37633815,0.37633815
"Hammond, LA",0.04179642,0.04179642
"Baton Rouge, LA",0.25209075,0.25209075
"Birmingham, AL",0.3531956,0.3531956
"Bloomington, IN",0.6725329,0.6725329
"Bloomington, IL",0.3791554,0.3791554
"Boise City, ID",-0.008524692,-0.008524692
"Providence-Warwick, RI-MA",0.611649,0.611649
"Barnstable Town, MA",0.34193438,0.34193438
"Worcester, MA",0.71798134,0.71798134
"Manchester-Nashua, NH",0.6943038,0.6943038
"Boston-Cambridge-Newton, MA-NH",0.56547636,0.56547636
"Bowling Green, KY",0.5393458,0.5393458
"Brownsville-Harlingen, TX",0.19820486,0.19820486
"Buffalo-Cheektowaga, NY",0.53606284,0.53606284
"Burlington-South Burlington, VT",0.66392875,0.66392875
"Cape Coral-Fort Myers, FL",-0.3325061,-0.3325061
"Naples-Marco Island, FL",-0.33599475,-0.33599475
"Cape Girardeau, MO-IL",0.5488293,0.5488293
"Champaign-Urbana, IL",0.45540556,0.45540556
"Huntington-Ashland, WV-KY-OH",0.8545239,0.8545239
"Charleston, WV",0.97505003,0.97505003
"Hickory-Lenoir-Morganton, NC",0.41234323,0.41234323
"Charlotte-Concord-Gastonia, NC-SC",0.23470093,0.23470093
"Cleveland, TN",0.4631267,0.4631267
"Chattanooga, TN-GA",0.5781123,0.5781123
"Dalton, GA",0.4105848,0.4105848
"Kankakee, IL",0.40446386,0.40446386
"Chicago-Naperville-Elgin, IL-IN",0.3672093,0.3672093
"Kenosha, WI",0.39635667,0.39635667
"Michigan City-La Porte, IN",0.40441635,0.40441635
"Cincinnati, OH-KY-IN",0.58375496,0.58375496
"Cleveland, OH",0.49679396,0.49679396
"Sandusky, OH",0.34283638,0.34283638
"Canton-Massillon, OH",0.4877273,0.4877273
"Akron, OH",0.4762097,0.4762097
"Columbia, MO",0.5564312,0.5564312
"Jefferson City, MO",0.5723446,0.5723446
"Columbia, SC",0.12897258,0.12897258
"Sumter, SC",0.24594615,0.24594615
"Auburn-Opelika, AL",0.30462188,0.30462188
"Columbus, GA-AL",0.26555935,0.26555935
"Columbus, OH",0.5286694,0.5286694
"Corpus Christi, TX",0.44513842,0.44513842
"Dallas-Fort Worth-Arlington, TX",0.40553626,0.40553626
"Sherman-Denison, TX",0.38532162,0.38532162
"Davenport-Moline-Rock Island, IA-IL",0.45746514,0.45746514
"Springfield, OH",0.45980087,0.45980087
"Dayton-Kettering-Beavercreek, OH",0.49495664,0.49495664
"Boulder, CO",0.05698648,0.05698648
"Detroit-Warren-Dearborn, MI",0.38405815,0.38405815
"Monroe, MI",0.37141365,0.37141365
"Ann Arbor, MI",0.35763422,0.35763422
"Flint, MI",0.39148268,0.39148268
"Dothan, AL",0.12405395,0.12405395
"Duluth, MN-WI",0.49075487,0.49075487
"Eau Claire, WI",0.3510881,0.3510881
"Elmira, NY",0.8653126,0.8653126
"El Paso, TX",-0.037576213,-0.037576213
"Las Cruces, NM",0.013465338,0.013465338
"Erie, PA",0.5057313,0.5057313
"Evansville, IN",0.55305547,0.55305547
"Fargo, ND-MN",0.13177171,0.13177171
"Fayetteville, NC",0.10921565,0.10921565
"Pinehurst-Southern Pines, NC",0.13124001,0.13124001
"Florence-Muscle Shoals, AL",0.45135015,0.45135015
"Fort Wayne, IN",0.38095373,0.38095373
"Fresno, CA",-0.061987944,-0.061987944
"Hanford-Corcoran, CA",0.052428786,0.052428786
"Gainesville, FL",-0.36700317,-0.36700317
"Grand Rapids-Wyoming-Kentwood, MI",0.39368808,0.39368808
"Muskegon-Norton Shores, MI",0.47552022,0.47552022
"Green Bay, WI",0.45593193,0.45593193
"Winston-Salem, NC",0.39825785,0.39825785
"Burlington, NC",0.31453207,0.31453207
"Greensboro-High Point, NC",0.42117307,0.42117307
"Spartanburg, SC",0.27652827,0.27652827
"Greenville-Anderson-Greer, SC",0.33334616,0.33334616
"Greenville, NC",0.35351944,0.35351944
"Harrisburg-Carlisle, PA",0.67747265,0.67747265
